;Author;Author ID
652;John E. Upledger;652
653;Julia Child;653
654;Margaret Atwood;654
655;Barron's;655
656;Aldous Huxley;656
657;Elspeth Huxley;657
658;Lauren Weisberger;658
659;Julie Mullaney;659
660;John Knowles;660
661;Anna Quindlen;661
662;Kaye Gibbons;662
663;Alice Hoffman;663
664;Maya Angelou;664
665;Jacquelyn Mitchard;665
666;Lalita Tademy;666
667;Billie Letts;667
668;Katherine E. Krohn;668
669;Christina Schwarz;669
670;Ann-Marie MacDonald;670
671;Pearl Cleage;671
672;Sue Miller;672
673;Melinda Haynes;673
674;Edwidge Danticat;674
675;Jane Hamilton;675
676;Elizabeth Berg;676
677;Anita Shreve;677
678;Maeve Binchy;678
679;Ernest J. Gaines;679
680;Toni Morrison;680
681;Bill Cosby;681
682;Wally Lamb;682
683;Joyce Carol Oates;683
684;Rohinton Mistry;684
685;Janet Fitch;685
686;Alan Paton;686
687;Barbara Kingsolver;687
688;Paul Kengor;688
689;Dinesh D'Souza;689
690;Oscar Wilde;690
691;Richard Ellmann;691
692;Ravi Zacharias;692
693;Don Rosa;693
694;Marvin Kaye;694
695;Jean Shepherd;695
696;Tim Dowley;696
697;Jane Werner Watson;697
698;Jane Parker Resnick;698
699;Robin Waterfield;699
700;Diana Gabaldon;700
701;Kathleen Winsor;701
702;Paula Danziger;702
703;Dugald A. Steer;703
704;Kaza Kingsley;704
705;James A. Hetley;705
706;Christopher Stasheff;706
707;Roland H. Bainton;707
708;Edward W. Said;708
709;Jhumpa Lahiri;709
710;David L. Holmes;710
711;Ann Brashares;711
712;George Orwell;712
713;David Nasaw;713
714;Naguib Mahfouz;714
715;Ruud van der Rol;715
716;Miep Gies;716
717;Frances Goodrich;717
718;Johanna Hurwitz;718
719;Rosetta James;719
720;Robert Penn Warren;720
721;L. David Allen;721
722;Ian King;722
723;Richard P. Feynman;723
724;Steve Wozniak;724
725;William McDonough;725
726;James Patterson;726
727;Michael B. Oren;727
728;Bernard Williams;728
729;Jean Nienkamp;729
730;Jahan Ramazani;730
731;Gillian Avery;731
732;Kenneth Grahame;732
733;Richard M. Weaver;733
734;Harvey Mansfield;734
735;Anton Chekhov;735
736;Maria Skobtsova;736
737;Tom Clancy;737
738;Le Ly Hayslip;738
739;Craig Scharlin;739
740;Anne Moody;740
741;Christopher Fowler;741
742;Steven Pinker;742
743;Lavigne;743
744;Samuel J. Leffler;744
745;Stuart Woods;745
746;James C. Mitchell;746
747;Jorge Luis Borges;747
748;William Makepeace Thackeray;748
749;Alan Moore;749
750;V.C. Andrews;750
751;Steve Moore;751
752;Steven Weisenburger;752
753;Anthony Hern;753
754;Chris          Jones;754
755;Carlos Marighella;755
756;Christopher   Duncan;756
757;V.S. Naipaul;757
758;Shiva Naipaul;758
759;Bruce Alvin King;759
760;Richard Slotkin;760
761;Julie E. Czerneda;761
762;Pat Barker;762
763;Mary Doria Russell;763
764;Rob Kidd;764
765;Wilkie Collins;765
766;National Commission on Terrorist Attacks Upon The United States;766
767;Harry Graham;767
768;Pablo Neruda;768
769;Michael Ondaatje;769
770;Stacy Horn;770
771;Hermann Hesse;771
772;Wilbur Smith;772
773;Chris Chester;773
774;Ben Mikaelsen;774
775;Janette Oke;775
776;Fran Leeper Buss;776
777;Karen Hesse;777
778;Li Bai;778
779;Wang Wei;779
780;Charles Rembar;780
781;Monica Furlong;781
782;Judy Tam Sargent;782
783;Erich Maria Remarque;783
784;Jonathan Shay;784
785;Jacques Derrida;785
786;Diana Cooper;786
787;John Julius Norwich;787
788;Frances J. Roberts;788
789;Kay Arthur;789
790;Bill Potter;790
791;Jean Houston;791
792;Sherman Alexie;792
793;Cormac McCarthy;793
794;Rose Tremain;794
795;Primo Levi;795
796;Ian Thomson;796
797;Emily Brontë;797
798;J.M. Coetzee;798
799;Sigrid Undset;799
800;David Malouf;800
801;Sébastien Japrisot;801
802;Sebastian Faulks;802
803;Wilfred Owen;803
804;Friedrich A. Hayek;804
