;ISBN 13;Book title
307;9781416524793;Angels & Demons (Robert Langdon  #1)
308;9788495618771;Ángeles y demonios (Robert Langdon  #1)
309;9780972859899;Angeles & Demonios
310;9780307277671;The Da Vinci Code (Robert Langdon  #2)
311;9780767926034;The Da Vinci Code
312;9782266144346;Da Vinci Code (Robert Langdon  #2)
313;9781416524809;Deception Point
314;9780552151764;Deception Point
315;9780593055076;Deception Point
316;9780786016068;A Killing Rain (Louis Kincaid  #6)
317;9780671015206;The Millionaire Next Door: The Surprising Secrets of America's Wealthy
318;9781585424337;Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century
319;9781932429237;Think and Grow Rich
320;9780977616657;Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series)
321;9781563410901;Read My Lips: Sexual Subversion and the End of Gender
322;9780345479174;Trump: The Art of the Deal
323;9780451205360;The Richest Man in Babylon
324;9781419349997;The Richest Man in Babylon
325;9781400098033;Shibumi
326;9780743226721;1776
327;9780140481396;1776
328;9780226014906;The Crescent Obscured: The United States and the Muslim World  1776-1815
329;9781416500186;The Good Earth (House of Earth  #1)
330;9780310258971;Purpose Driven Life - For Commuters: What on Earth Am I Here For?
331;9780060838584;Fast Food Nation: The Dark Side of the All-American Meal
332;9780141006871;Fast Food Nation: What The All-American Meal is Doing to the World
333;9780812968064;Snow Flower and the Secret Fan
334;9780385340540;The Broker
335;9780394720241;The Power Broker: Robert Moses and the Fall of New York
336;9780345480606;The Power Broker: A Novel (Christian Gillette  #3)
337;9780060193393;Body For Life: 12 Weeks to Mental and Physical Strength
338;9781579546014;Body for Life for Women: A Woman's Plan for Physical and Mental Transformation
339;9780972018418;Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!
340;9780471743675;The Warren Buffett Way
341;9780471430452;The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers
342;9780805431575;Monkey Business: True Story of the Scopes Trial
343;9780679838869;Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2)
344;9780373250714;Monkey Business
345;9780140143454;Liar's Poker
346;9780802732293;Liar's Poker: A Harry Garnish Mystery
347;694055000612;Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen
348;9780307238276;Giada's Family Dinners
349;9781400052585;Everyday Italian: 125 Simple and Delicious Recipes
350;9780307346582;Everyday Pasta
351;9781400052387;Tyler's Ultimate: Brilliant Simple Food to Make Any Time
352;9780609609972;Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook
353;9781400052370;Eat This Book: Cooking with Global Fresh Flavors
354;9780061234002;Freakonomics: A Rogue Economist Explores the Hidden Side of Everything
355;9788466625128;Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta
356;9780061245138;Freakonomics: A Rogue Economist Explores the Hidden Side of Everything
357;9780399153594;The Last Assassin (John Rain  #5)
358;9780156030205;Life of Pi
359;9780828808392;L'Histoire de Pi
360;9780140285970;Shadows and Wind: A View of Modern Vietnam
361;9780307276902;A Million Little Pieces
362;9781411677319;A Million Little Pieces of Feces
363;9780061171468;A Million Little Lies
364;9780787968335;The Leadership Challenge
365;9780446394598;Lincoln on Leadership: Executive Strategies for Tough Times
366;9780131494848;Leadership in Organizations
367;9780316861014;Leadership
368;9780060574215;Men Are from Mars  Women Are from Venus
369;9780060192778;Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships
370;9780061232053;Men Are from Mars  Women Are from Venus
371;9780735200302;How to Succeed with Women
372;9780553381672;The Clan of the Cave Bear (Earth's Children  #1)
373;9780517542026;The Clan of the Cave Bear (Earth's Children  #1)
374;9780393324815;Moneyball: The Art of Winning an Unfair Game
375;9780744005615;Juiced Official Strategy Guide
